,A,B,C
0,0,3,1
1,1,0,3
2,1,0,3
3,1,0,1
4,0,1,2
5,1,0,3
6,0,1,0
7,1,1,3
8,0,1,1
9,1,1,3
10,1,3,2
11,0,2,2
12,1,0,3
13,1,0,3
14,1,0,2
15,0,3,2
16,1,0,3
17,1,1,0
18,0,0,2
19,1,0,3
20,0,1,1
21,0,2,1
22,1,1,3
23,0,0,2
24,1,3,0
25,1,1,1
26,1,0,3
27,0,3,1
28,0,1,2
29,1,2,3
30,0,1,2
31,1,2,3
32,0,0,3
33,0,0,3
34,0,1,1
35,0,3,2
36,0,0,2
37,0,1,2
38,0,1,2
39,0,3,1
40,0,0,2
41,0,3,1
42,0,1,2
43,1,1,0
44,1,1,2
45,0,2,2
46,0,1,2
47,1,1,3
48,1,1,3
49,0,3,2
50,1,3,2
51,1,1,2
52,0,2,2
53,1,0,3
54,1,1,3
55,1,2,3
56,0,0,2
57,0,0,2
58,0,2,2
59,1,1,2
60,0,1,0
61,0,0,3
62,0,0,2
63,1,3,1
64,0,2,2
65,1,1,2
66,0,3,2
67,1,3,2
68,1,3,1
69,0,3,1
70,1,3,0
71,0,3,2
72,1,1,1
73,0,1,1
74,1,3,3
75,0,1,2
76,0,0,0
77,1,0,1
78,1,1,1
79,1,0,3
80,0,3,1
81,0,0,3
82,1,3,1
83,1,2,3
84,1,1,3
85,0,2,2
86,0,2,0
87,1,3,1
88,0,2,2
89,0,2,3
90,0,1,2
91,1,0,3
92,1,3,2
93,1,3,0
94,0,1,0
95,0,2,2
96,0,0,2
97,0,1,2
98,0,2,0
99,0,1,1
100,0,2,3
101,0,2,2
102,1,3,1
103,0,2,2
104,0,2,2
105,0,2,3
106,0,1,2
107,0,1,0
108,0,1,1
109,0,2,1
110,0,3,2
111,0,2,0
112,1,1,3
113,0,1,0
114,0,2,2
115,0,1,1
116,0,1,1
117,1,0,3
118,0,0,3
119,1,2,3
120,0,3,2
121,0,2,2
122,1,1,3
123,1,3,3
124,1,3,3
125,1,1,3
126,1,0,3
127,1,1,3
128,0,1,1
129,1,1,2
130,1,1,3
131,1,0,3
132,0,1,1
133,0,3,1
134,1,1,3
135,0,2,2
136,0,0,2
137,0,1,3
138,0,1,2
139,1,2,3
140,0,1,2
141,0,3,2
142,1,2,3
143,0,1,1
144,0,1,2
145,0,1,1
146,1,1,1
147,1,0,3
148,1,0,1
149,1,2,3
150,1,3,1
151,0,2,3
152,0,2,3
153,1,1,3
154,1,2,3
155,1,0,3
156,1,0,0
157,0,2,2
158,0,1,1
159,1,0,1
160,1,1,3
161,0,1,0
162,0,0,2
163,1,3,1
164,0,1,1
165,1,2,3
166,0,2,2
167,0,0,0
168,1,1,1
169,1,1,3
170,1,1,2
171,0,0,1
172,1,0,2
173,0,3,1
174,0,1,1
175,0,2,3
176,0,2,2
177,0,2,3
178,1,3,1
179,1,2,3
180,1,1,3
181,1,3,2
182,0,1,0
183,0,1,3
184,0,2,3
185,1,1,3
186,1,1,3
187,1,2,3
188,0,3,3
189,1,2,3
190,0,0,2
191,1,0,1
192,0,3,1
193,0,2,0
194,0,2,0
195,0,2,2
196,0,3,2
197,1,1,1
198,1,2,3
199,1,1,1
200,1,3,2
201,1,1,3
202,0,3,1
203,0,1,1
204,0,1,2
205,1,0,2
206,1,3,3
207,1,2,3
208,0,1,1
209,0,1,2
210,0,2,3
211,1,3,1
212,0,1,2
213,1,3,2
214,0,1,0
215,1,1,3
216,1,1,0
217,0,3,1
218,0,0,2
219,0,1,3
220,0,3,2
221,1,1,2
222,1,0,2
223,1,1,0
224,1,0,1
225,1,3,2
226,1,1,1
227,1,2,3
228,0,3,1
229,1,3,2
230,0,1,1
231,0,0,2
232,1,0,0
233,1,0,2
234,1,2,3
235,0,2,0
236,0,3,1
237,0,1,2
238,0,1,2
239,1,1,3
240,0,0,1
241,0,1,1
242,1,1,3
243,0,2,2
244,1,3,3
245,0,2,1
246,0,0,0
247,0,0,2
248,0,2,2
249,1,1,1
250,0,1,2
251,0,0,3
252,1,3,2
253,0,1,0
254,0,3,2
255,0,1,2
256,1,1,0
257,1,1,3
258,0,0,1
259,0,2,3
260,0,1,1
261,0,2,0
262,1,2,3
263,1,0,1
264,1,1,3
265,0,1,1
266,0,2,2
267,1,0,2
268,0,2,0
269,1,3,1
270,0,0,2
271,0,2,1
272,0,2,0
273,0,1,2
274,0,3,2
275,1,1,3
276,1,1,3
277,1,3,2
278,0,2,2
279,1,1,3
280,1,1,3
281,0,2,0
282,1,0,3
283,0,2,3
284,0,2,2
285,1,0,1
286,1,0,1
287,1,1,2
288,1,0,3
289,0,2,2
290,0,1,1
291,1,2,3
292,0,1,2
293,1,1,2
294,1,2,3
295,0,2,1
296,1,1,3
297,0,1,2
298,1,2,3
299,1,3,2
300,1,3,0
301,0,2,3
302,1,0,3
303,0,0,0
304,0,2,2
305,1,3,0
306,1,1,3
307,0,1,1
308,1,1,3
309,0,0,1
310,1,1,3
311,1,3,1
312,0,1,2
313,0,1,1
314,0,3,2
315,1,3,1
316,1,2,3
317,0,2,2
318,0,1,2
319,1,3,2
320,0,0,0
321,0,1,2
322,0,3,2
323,0,1,3
324,0,1,1
325,1,1,3
326,1,1,3
327,1,1,3
328,1,2,3
329,0,2,3
330,0,0,2
331,1,3,1
332,0,0,2
333,1,0,2
334,1,2,3
335,1,1,3
336,0,2,2
337,0,2,3
338,1,3,3
339,1,0,3
340,1,1,1
341,1,1,3
342,1,3,1
343,0,2,0
344,1,0,3
345,0,1,2
346,1,1,3
347,1,3,1
348,0,2,3
349,0,2,2
350,1,0,2
351,1,2,3
352,0,2,1
353,0,0,2
354,0,1,1
355,0,3,1
356,1,3,3
357,1,0,3
358,1,3,2
359,0,1,1
360,1,1,3
361,1,2,3
362,1,0,3
363,0,1,1
364,0,2,3
365,1,1,3
366,0,1,2
367,1,0,1
368,1,3,2
369,0,1,0
370,1,0,3
371,0,1,3
372,1,0,3
373,0,1,2
374,0,1,1
375,0,1,1
376,1,3,2
377,0,2,0
378,1,1,2
379,1,2,3
380,0,0,2
381,0,1,0
382,1,1,3
383,0,2,0
384,1,1,3
385,0,3,2
386,1,0,3
387,0,0,3
388,1,0,3
389,0,1,1
390,1,3,2
391,0,2,2
392,1,1,3
393,0,1,2
394,0,1,3
395,0,2,0
396,0,1,2
397,0,2,3
398,1,1,3
399,0,1,2
400,1,0,0
401,1,1,3
402,1,3,3
403,0,1,2
404,0,2,0
405,0,1,2
406,0,1,0
407,0,3,1
408,1,1,1
409,1,0,1
410,0,3,2
411,1,1,3
412,0,2,2
413,1,0,1
414,1,1,3
415,1,1,3
416,0,3,1
417,0,1,1
418,0,3,2
419,0,2,0
420,1,3,2
421,1,2,3
422,0,0,2
423,0,0,3
424,1,1,3
425,1,1,3
426,1,0,3
427,0,0,3
428,1,0,3
429,1,1,1
430,0,1,1
431,0,2,3
432,0,2,0
433,0,1,3
434,1,1,3
435,0,2,1
436,0,2,0
437,1,2,3
438,0,3,2
439,1,0,3
440,1,1,3
441,0,3,1
442,1,1,2
443,0,2,2
444,0,0,2
445,0,1,2
446,1,1,1
447,1,2,3
448,0,2,2
449,0,1,2
450,1,0,0
451,0,0,0
452,0,1,2
453,0,2,1
454,1,1,3
455,1,0,3
456,1,0,2
457,0,1,3
458,0,2,3
459,0,1,1
460,1,1,0
461,1,3,2
462,0,1,2
463,1,1,3
464,1,1,3
465,0,3,3
466,0,2,2
467,0,3,1
468,0,3,2
469,1,3,1
470,0,1,2
471,1,2,3
472,0,1,0
473,0,0,2
474,0,1,0
475,1,0,1
476,1,1,3
477,0,0,2
478,0,3,1
479,0,0,2
480,1,3,2
481,0,0,2
482,1,1,1
483,0,1,2
484,1,2,2
485,0,1,1
486,0,3,1
487,1,3,2
488,0,2,2
489,0,1,0
490,0,1,0
491,0,2,0
492,1,1,2
493,0,2,3
494,1,2,3
495,0,1,1
496,1,1,3
497,1,0,0
498,0,2,3
499,0,1,3
500,0,1,2
501,1,1,3
502,0,2,3
503,1,0,3
504,0,1,2
505,1,2,3
506,0,0,0
507,0,2,2
508,0,0,2
509,1,0,0
510,1,3,2
511,0,0,3
512,0,3,2
513,0,1,2
514,0,1,0
515,1,0,3
516,1,0,2
517,0,0,2
518,1,2,3
519,0,2,2
520,1,1,3
521,0,2,2
522,0,2,1
523,1,0,3
524,1,1,0
525,0,2,0
526,0,2,2
527,1,0,3
528,1,0,0
529,1,2,3
530,0,2,1
531,0,3,2
532,1,1,1
533,1,0,0
534,1,0,2
535,1,3,3
536,1,1,3
537,0,3,2
538,1,1,3
539,0,0,3
540,1,3,2
541,0,1,1
542,1,1,3
543,0,1,0
544,1,1,2
545,1,0,3
546,0,1,0
547,1,0,3
548,0,1,1
549,0,2,3
550,0,3,2
551,1,0,3
552,0,1,2
553,0,1,1
554,1,3,2
555,0,2,3
556,0,1,2
557,0,2,3
558,1,0,0
559,1,1,2
560,1,1,3
561,1,1,3
562,1,0,3
563,1,3,3
564,0,0,3
565,1,0,1
566,1,1,1
567,1,0,3
568,0,1,2
569,1,2,3
570,0,0,0
571,1,1,3
572,0,2,2
573,1,3,3
574,1,1,3
575,0,2,1
576,1,1,2
577,0,2,3
578,0,1,2
579,0,0,1
580,1,0,1
581,1,0,3
582,0,2,0
583,1,2,3
584,0,2,0
585,1,1,1
586,1,2,3
587,1,0,2
588,1,0,2
589,1,1,2
590,1,1,3
591,0,1,3
592,1,2,3
593,1,1,3
594,1,1,2
595,1,2,3
596,0,0,2
597,0,2,2
598,0,0,1
599,0,1,2
600,1,1,0
601,1,3,1
602,1,0,0
603,1,3,1
604,0,1,2
605,1,1,1
606,1,1,1
607,0,2,2
608,0,1,3
609,1,2,3
610,0,3,2
611,0,1,2
612,1,1,3
613,0,0,2
614,1,1,1
615,1,2,3
616,1,0,3
617,1,0,3
618,0,2,2
619,1,0,2
620,1,0,3
621,0,2,0
622,0,1,3
623,0,1,3
624,1,1,3
625,1,3,3
626,1,0,0
627,0,3,0
628,0,2,2
629,0,0,2
630,0,2,2
631,1,1,0
632,0,0,2
633,1,2,3
634,1,3,2
635,0,1,1
636,1,2,3
637,0,3,1
638,0,1,3
639,1,0,3
640,0,1,2
641,0,2,2
642,1,3,2
643,0,2,3
644,1,0,1
645,0,0,2
646,0,1,2
647,0,1,3
648,1,3,2
649,1,0,1
650,1,3,3
651,1,2,3
652,0,3,1
653,0,3,0
654,1,3,2
655,0,0,3
656,0,1,1
657,0,1,2
658,0,2,3
659,0,1,3
660,1,2,3
661,1,3,2
662,1,3,1
663,1,0,3
664,0,3,1
665,1,3,1
666,1,3,2
667,0,1,1
668,1,3,2
669,1,1,3
670,1,0,1
671,1,1,2
672,0,1,1
673,1,2,3
674,0,1,1
675,1,3,1
676,1,3,3
677,1,1,3
678,1,2,3
679,0,1,2
680,1,1,3
681,1,3,1
682,1,2,3
683,1,3,1
684,0,1,0
685,1,1,1
686,1,3,2
687,0,2,0
688,0,2,2
689,1,1,3
690,1,0,0
691,0,1,2
692,0,3,1
693,0,0,2
694,1,3,2
695,1,2,3
696,0,3,1
697,1,3,1
698,1,2,3
699,0,1,1
700,0,2,0
701,1,1,3
702,0,3,2
703,0,0,2
704,0,1,2
705,1,1,3
706,0,1,1
707,0,3,2
708,1,1,3
709,1,0,3
710,1,3,3
711,1,2,3
712,0,0,2
713,1,1,0
714,0,3,2
715,0,1,2
716,1,0,1
717,0,1,2
718,0,2,2
719,1,0,0
720,1,2,3
721,1,2,3
722,0,2,1
723,0,1,1
724,1,0,3
725,0,0,0
726,1,2,3
727,0,1,1
728,0,2,0
729,0,2,3
730,1,0,0
731,1,3,2
732,0,2,2
733,0,1,0
734,1,3,1
735,1,1,2
736,0,3,2
737,0,1,1
738,1,1,3
739,0,1,1
740,0,0,2
741,1,0,0
742,0,2,2
743,1,3,2
744,1,3,1
745,0,1,2
746,0,3,2
747,0,1,1
748,0,0,2
749,1,0,0
750,0,1,2
751,1,0,0
752,0,2,2
753,1,0,2
754,0,1,1
755,1,0,2
756,0,2,0
757,0,2,2
758,0,0,0
759,0,1,2
760,1,3,0
761,1,0,1
762,1,3,2
763,1,0,0
764,0,2,2
765,1,1,0
766,1,1,3
767,1,3,3
768,1,1,2
769,0,3,2
770,1,0,3
771,1,3,2
772,0,1,3
773,1,3,2
774,1,1,1
775,1,0,3
776,0,1,1
777,1,0,3
778,0,1,2
779,0,1,2
780,1,0,3
781,0,1,2
782,0,1,2
783,0,1,3
784,1,0,1
785,1,2,3
786,1,3,2
787,0,2,3
788,1,0,1
789,1,1,1
790,0,3,1
791,1,0,3
792,0,2,2
793,0,1,1
794,1,2,3
795,0,0,0
796,0,0,3
797,0,0,0
798,0,0,1
799,1,1,2
800,0,3,2
801,1,3,2
802,0,2,0
803,0,2,2
804,1,0,2
805,1,2,3
806,1,1,3
807,0,1,2
808,0,0,1
809,0,3,1
810,1,1,2
811,1,0,3
812,0,1,1
813,1,0,3
814,0,1,3
815,0,1,1
816,0,2,2
817,1,1,2
818,1,1,3
819,1,1,1
820,0,2,2
821,1,0,3
822,1,0,1
823,0,1,2
824,1,2,3
825,0,2,3
826,0,2,2
827,1,0,1
828,1,2,3
829,1,0,3
830,0,2,0
831,0,3,1
832,0,2,3
833,0,0,2
834,1,0,3
835,0,1,2
836,0,3,2
837,1,1,2
838,1,3,2
839,0,3,2
840,0,2,2
841,1,0,1
842,1,3,3
843,1,2,0
844,0,1,1
845,0,1,3
846,0,3,1
847,1,0,2
848,1,1,2
849,1,3,3
850,0,3,2
851,1,3,2
852,1,1,3
853,1,1,1
854,0,0,2
855,0,2,3
856,1,1,1
857,1,2,3
858,1,1,2
859,0,1,1
860,0,1,1
861,1,0,3
862,1,3,2
863,1,1,1
864,1,1,3
865,0,1,1
866,1,3,2
867,1,1,2
868,1,0,1
869,1,1,2
870,1,0,3
871,1,0,3
872,1,3,2
873,1,0,3
874,1,3,1
875,0,0,1
876,1,0,3
877,1,0,3
878,0,2,3
879,1,1,3
880,1,1,2
881,0,1,3
882,0,0,2
883,1,1,1
884,1,1,3
885,0,1,2
886,1,2,3
887,1,0,1
888,0,2,3
889,1,2,2
890,1,1,3
891,1,3,2
892,0,2,3
893,0,3,2
894,0,2,3
895,0,0,0
896,0,1,2
897,0,1,2
898,1,3,3
899,1,0,3
900,0,1,2
901,0,1,2
902,0,2,2
903,1,1,3
904,0,3,1
905,0,0,3
906,1,2,3
907,1,3,2
908,0,3,1
909,1,0,2
910,0,1,3
911,0,3,2
912,0,1,2
913,0,1,0
914,0,3,2
915,0,1,0
916,1,1,3
917,0,1,1
918,0,1,3
919,1,3,2
920,0,3,1
921,1,2,3
922,0,0,2
923,0,2,0
924,0,1,1
925,0,2,3
926,0,2,2
927,0,3,1
928,1,3,0
929,1,1,3
930,1,1,3
931,0,2,3
932,1,3,2
933,0,2,3
934,0,3,1
935,0,2,2
936,0,1,1
937,0,2,1
938,0,1,2
939,1,3,2
940,0,0,0
941,1,3,1
942,0,2,3
943,1,1,1
944,0,1,0
945,0,1,2
946,0,1,2
947,1,0,1
948,0,3,1
949,1,3,1
950,0,1,2
951,0,3,2
952,1,0,2
953,0,1,0
954,1,1,3
955,0,1,2
956,0,1,1
957,1,0,1
958,0,1,1
959,0,3,2
960,0,2,2
961,0,1,2
962,0,1,2
963,0,2,3
964,1,0,3
965,1,3,2
966,1,0,3
967,0,2,3
968,0,1,1
969,1,1,3
970,1,3,1
971,0,1,1
972,1,3,1
973,1,0,3
974,1,3,2
975,0,2,2
976,0,2,3
977,1,1,2
978,0,0,3
979,1,0,3
980,0,0,1
981,0,3,2
982,0,2,2
983,1,1,1
984,0,1,2
985,0,3,2
986,0,1,1
987,1,1,2
988,1,2,3
989,0,1,1
990,1,3,2
991,0,3,2
992,1,0,1
993,0,0,3
994,1,0,2
995,1,1,1
996,0,2,2
997,1,0,3
998,0,2,2
999,0,3,1
1000,0,1,1
1001,0,2,3
1002,0,2,3
1003,0,2,0
1004,0,2,3
1005,1,3,1
1006,1,0,1
1007,0,1,2
1008,1,2,3
1009,1,1,3
1010,1,1,1
1011,1,1,3
1012,0,1,2
1013,0,2,1
1014,1,1,3
1015,1,3,3
1016,0,1,2
1017,0,3,1
1018,1,2,3
1019,0,2,2
1020,0,1,1
1021,1,0,2
1022,1,1,3
1023,0,0,2
1024,0,1,1
1025,0,0,2
1026,1,0,2
1027,0,1,1
1028,0,0,0
1029,1,3,2
1030,1,1,3
1031,0,0,3
1032,0,1,1
1033,0,2,2
1034,1,2,0
1035,0,1,2
1036,0,2,3
1037,0,2,2
1038,1,3,2
1039,0,3,2
1040,1,0,3
1041,0,2,2
1042,1,2,3
1043,1,1,3
1044,1,1,2
1045,1,1,3
1046,1,2,3
1047,1,0,0
1048,1,0,2
1049,0,2,2
1050,0,0,0
1051,0,2,1
1052,0,0,0
1053,0,2,2
1054,0,3,2
1055,1,0,3
1056,1,0,3
1057,0,2,3
1058,1,2,3
1059,0,0,3
1060,0,3,1
1061,0,0,2
1062,1,0,3
1063,1,3,2
1064,1,3,2
1065,0,2,2
1066,0,1,2
1067,1,1,3
1068,1,1,3
1069,0,0,2
1070,1,2,3
1071,1,0,2
1072,1,0,3
1073,0,1,2
1074,1,3,1
1075,1,1,3
1076,0,3,1
1077,1,1,1
1078,0,2,2
1079,0,1,2
1080,1,2,3
1081,0,1,1
1082,1,0,3
1083,0,1,2
1084,0,0,2
1085,0,1,0
1086,0,2,3
1087,0,1,1
1088,1,1,2
1089,1,0,1
1090,1,0,3
1091,1,0,3
1092,1,1,3
1093,1,1,3
1094,1,1,2
1095,0,2,2
1096,1,2,3
1097,0,3,2
1098,0,2,3
1099,1,3,1
1100,1,0,2
1101,1,1,3
1102,0,2,3
1103,0,3,2
1104,0,3,2
1105,0,2,3
1106,0,1,2
1107,1,3,2
1108,1,0,2
1109,0,1,1
1110,0,0,2
1111,1,0,3
1112,0,3,1
1113,1,2,3
1114,1,0,2
