,0,1,2,3,4,5,6,7,8,9
0,3.5648566e-07,0.99999964,4.0954546e-09,0.9999989,1.0727888e-06,5.389829e-08,0.25738367,0.25036913,0.24717991,0.24506725
1,2.3566008e-05,0.9999764,9.1508724e-08,0.9999746,1.6821241e-05,8.392349e-06,1.7003136e-05,2.2458978e-05,1.3871706e-05,0.9999467
2,1.7126753e-05,0.99998283,7.157026e-09,0.9999976,2.199584e-06,2.207415e-07,0.9999502,2.1173533e-05,2.0138927e-05,8.443594e-06
3,2.3566008e-05,0.9999764,9.1508724e-08,0.9999746,1.6821241e-05,8.392349e-06,1.7003136e-05,2.2458978e-05,1.3871706e-05,0.9999467
4,1.2722239e-05,0.99998724,2.3071017e-08,0.99998236,1.6972717e-05,7.244279e-07,1.571422e-05,6.304098e-11,0.9999733,1.0969352e-05
5,0.99997056,2.938946e-05,3.941367e-06,4.4241397e-06,0.9999907,9.3758104e-07,1.8198633e-06,8.215703e-06,1.0912017e-05,0.999979
6,1.2722239e-05,0.99998724,2.3071017e-08,0.99998236,1.6972717e-05,7.244279e-07,1.571422e-05,6.304098e-11,0.9999733,1.0969352e-05
7,1.2722239e-05,0.99998724,2.3071017e-08,0.99998236,1.6972717e-05,7.244279e-07,1.571422e-05,6.304098e-11,0.9999733,1.0969352e-05
8,6.027255e-06,0.9999939,6.7680304e-07,0.9999937,1.2438392e-06,4.36541e-06,1.381071e-05,0.9999782,9.761643e-11,7.972547e-06
9,1.7126753e-05,0.99998283,7.157026e-09,0.9999976,2.199584e-06,2.207415e-07,0.9999502,2.1173533e-05,2.0138927e-05,8.443594e-06
10,0.99997056,2.938946e-05,3.941367e-06,4.4241397e-06,0.9999907,9.3758104e-07,1.8198633e-06,8.215703e-06,1.0912017e-05,0.999979
11,0.99998784,1.2109012e-05,6.032078e-08,3.8594754e-07,0.9999994,9.282664e-08,6.49359e-06,2.605766e-10,0.9999871,6.4638466e-06
12,0.4960881,0.50391185,1.1429383e-05,1.6310247e-05,0.9999552,1.7025313e-05,1.623176e-07,1.8211167e-06,8.2121664e-07,0.99999714
13,0.999959,4.0955343e-05,6.5200365e-06,1.4312105e-06,0.9999918,2.1660763e-07,3.369833e-05,0.99995327,5.7539125e-09,1.2993139e-05
14,0.99997056,2.938946e-05,3.941367e-06,4.4241397e-06,0.9999907,9.3758104e-07,1.8198633e-06,8.215703e-06,1.0912017e-05,0.999979
15,6.027255e-06,0.9999939,6.7680304e-07,0.9999937,1.2438392e-06,4.36541e-06,1.381071e-05,0.9999782,9.761643e-11,7.972547e-06
16,0.99997056,2.938946e-05,3.941367e-06,4.4241397e-06,0.9999907,9.3758104e-07,1.8198633e-06,8.215703e-06,1.0912017e-05,0.999979
17,0.99998784,1.2109012e-05,6.032078e-08,3.8594754e-07,0.9999994,9.282664e-08,6.49359e-06,2.605766e-10,0.9999871,6.4638466e-06
18,0.99997056,2.938946e-05,3.941367e-06,4.4241397e-06,0.9999907,9.3758104e-07,1.8198633e-06,8.215703e-06,1.0912017e-05,0.999979
