,0,1,2,3,4,5,6,7,8,9
0,0.9782261,0.021773832,0.0046394104,0.018604478,0.9052605,0.07149556,0.0032451262,0.02405169,0.9210308,0.05167233
1,0.0025447397,0.9974553,0.017441524,0.93596554,0.04625383,0.0003390985,0.6331347,0.30311957,0.014055199,0.049690526
2,0.009056394,0.9909436,0.03058838,0.9446703,0.023177821,0.0015634976,0.0020428237,0.012903121,0.98230606,0.0027480007
3,0.005086126,0.9949138,0.97352546,0.023671152,0.00073607767,0.002067201,0.17960554,0.7422807,0.03883647,0.039277226
4,0.027197553,0.97280246,0.9853625,0.008060112,0.0019944583,0.004582824,0.07944682,0.11307145,0.018509584,0.78897214
5,0.9960108,0.003989223,0.005338365,0.00010678206,0.009934037,0.9846208,0.00021891292,0.0065122144,0.9895677,0.00370117
6,0.009056394,0.9909436,0.03058838,0.9446703,0.023177821,0.0015634976,0.0020428237,0.012903121,0.98230606,0.0027480007
7,0.9568709,0.043129038,0.0018777292,0.072547086,0.9006914,0.024883874,0.112316325,0.55087745,0.047984228,0.28882194
8,0.9568709,0.043129038,0.0018777292,0.072547086,0.9006914,0.024883874,0.112316325,0.55087745,0.047984228,0.28882194
9,0.027197553,0.97280246,0.9853625,0.008060112,0.0019944583,0.004582824,0.07944682,0.11307145,0.018509584,0.78897214
10,0.9974763,0.002523663,0.0013475694,1.4792561e-05,0.019858807,0.9787788,0.002003317,0.033831637,0.0070176153,0.9571475
11,0.016119178,0.9838808,0.9605646,0.02872135,0.0012967101,0.0094173765,0.00633716,0.02576678,0.9633801,0.004516012
12,0.005086126,0.9949138,0.97352546,0.023671152,0.00073607767,0.002067201,0.17960554,0.7422807,0.03883647,0.039277226
13,0.009056394,0.9909436,0.03058838,0.9446703,0.023177821,0.0015634976,0.0020428237,0.012903121,0.98230606,0.0027480007
14,0.9568709,0.043129038,0.0018777292,0.072547086,0.9006914,0.024883874,0.112316325,0.55087745,0.047984228,0.28882194
15,0.016119178,0.9838808,0.9605646,0.02872135,0.0012967101,0.0094173765,0.00633716,0.02576678,0.9633801,0.004516012
16,0.0091738,0.9908262,0.97478694,0.019718532,0.0044347174,0.0010599017,0.8756515,0.09887617,0.006700161,0.018772116
17,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
18,0.0091738,0.9908262,0.97478694,0.019718532,0.0044347174,0.0010599017,0.8756515,0.09887617,0.006700161,0.018772116
19,0.0091738,0.9908262,0.97478694,0.019718532,0.0044347174,0.0010599017,0.8756515,0.09887617,0.006700161,0.018772116
20,0.9964653,0.0035346278,0.01138616,0.0003649417,0.06031375,0.9279351,0.024532527,0.23998149,0.119605586,0.6158803
21,0.987578,0.012422054,0.0003145172,0.008347176,0.9238799,0.06745839,0.009060651,0.10759274,0.0052029304,0.87814367
22,0.009056394,0.9909436,0.03058838,0.9446703,0.023177821,0.0015634976,0.0020428237,0.012903121,0.98230606,0.0027480007
23,0.027197553,0.97280246,0.9853625,0.008060112,0.0019944583,0.004582824,0.07944682,0.11307145,0.018509584,0.78897214
24,0.987578,0.012422054,0.0003145172,0.008347176,0.9238799,0.06745839,0.009060651,0.10759274,0.0052029304,0.87814367
25,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
26,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
27,0.024401762,0.9755982,0.0068351673,0.9362782,0.05481504,0.002071548,0.05487604,0.25486475,0.010822797,0.6794364
28,0.9960108,0.003989223,0.005338365,0.00010678206,0.009934037,0.9846208,0.00021891292,0.0065122144,0.9895677,0.00370117
29,0.016119178,0.9838808,0.9605646,0.02872135,0.0012967101,0.0094173765,0.00633716,0.02576678,0.9633801,0.004516012
30,0.9782261,0.021773832,0.0046394104,0.018604478,0.9052605,0.07149556,0.0032451262,0.02405169,0.9210308,0.05167233
31,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
32,0.9960108,0.003989223,0.005338365,0.00010678206,0.009934037,0.9846208,0.00021891292,0.0065122144,0.9895677,0.00370117
33,0.9974763,0.002523663,0.0013475694,1.4792561e-05,0.019858807,0.9787788,0.002003317,0.033831637,0.0070176153,0.9571475
34,0.9782261,0.021773832,0.0046394104,0.018604478,0.9052605,0.07149556,0.0032451262,0.02405169,0.9210308,0.05167233
35,0.005086126,0.9949138,0.97352546,0.023671152,0.00073607767,0.002067201,0.17960554,0.7422807,0.03883647,0.039277226
36,0.0091738,0.9908262,0.97478694,0.019718532,0.0044347174,0.0010599017,0.8756515,0.09887617,0.006700161,0.018772116
37,0.005086126,0.9949138,0.97352546,0.023671152,0.00073607767,0.002067201,0.17960554,0.7422807,0.03883647,0.039277226
38,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
39,0.016119178,0.9838808,0.9605646,0.02872135,0.0012967101,0.0094173765,0.00633716,0.02576678,0.9633801,0.004516012
40,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
41,0.9782261,0.021773832,0.0046394104,0.018604478,0.9052605,0.07149556,0.0032451262,0.02405169,0.9210308,0.05167233
42,0.003782075,0.9962179,0.004548208,0.990493,0.00482928,0.0001294894,0.08911994,0.8090868,0.03228267,0.06951058
